"Team","Opponent","HomeGoals","OpponentGoals","score","HomeWin","Draw","OpponentWin","HomeWin_Odds","Draw_Odds","OpponentWin_Odds"
"Hearts","Kilmarnock",2,1,"2 - 1",0.586054228731935,0.213947658031297,0.195466347641477,1.70632673731189,4.6740404134441,5.11597015069925
"Livingston","St Mirren",1,1,"1 - 1",0.384415915637491,0.302896498001452,0.31248006919375,2.60134910996508,3.30145778045676,3.20020410447349
"Livingston","St Johnstone",1,1,"1 - 1",0.357839748329533,0.293708430386138,0.348177666117612,2.79454701348355,3.40473713568691,2.87209691290827
"Livingston","Celtic",1,2,"1 - 2",0.108874594967266,0.176821670299098,0.705987203730784,9.18487917498711,5.6554154154775,1.41645626820926
"Livingston","Rangers",1,2,"1 - 2",0.0970382621338666,0.187000085766871,0.710610687281155,10.3052134076811,5.34759113023445,1.40724030456968
"Livingston","Dundee",2,1,"2 - 1",0.534535363581141,0.245632638732771,0.218210243186406,1.87078361532614,4.07112021089316,4.58273628862487
"Livingston","Ross County",1,1,"1 - 1",0.484116364588122,0.304689020380014,0.210935099399159,2.06561908075713,3.2820349048114,4.74079469395308
"Livingston","Hearts",2,1,"2 - 1",0.499877996637533,0.257473406301015,0.241549897330441,2.0004881325575,3.8838962608468,4.13993138085253
"Livingston","Dundee United",1,1,"1 - 1",0.475843016100177,0.304005039939474,0.219893378397774,2.1015334178814,3.28941914975849,4.54765853927197
"Livingston","Hibernian",1,1,"1 - 1",0.310340700835165,0.290182232471383,0.399154838732468,3.22226506967626,3.44611036824461,2.50529344245341
"Livingston","Aberdeen",1,1,"1 - 1",0.329612634575177,0.263959635666611,0.405610997082678,3.03386428523547,3.78845802493466,2.46541638957625
"Livingston","Motherwell",1,1,"1 - 1",0.349638973828445,0.297638368984208,0.352483137536009,2.86009305270031,3.35978188367595,2.8370151462858
"Livingston","Kilmarnock",1,1,"1 - 1",0.451334288327749,0.318300081711578,0.23020218425829,2.21565262348032,3.14168942283255,4.34400743512488
"Livingston","Hamilton",1,1,"1 - 1",0.435667371288283,0.292244732813693,0.271761792517102,2.29532911092921,3.42178964312593,3.67969312660855
"St Mirren","Livingston",1,1,"1 - 1",0.387040511100997,0.319529400352646,0.293304802820675,2.58370886591521,3.12960246818089,3.40942252013307
"St Mirren","St Johnstone",1,1,"1 - 1",0.37054981658432,0.294295324437777,0.334884346454547,2.69869247060454,3.39794728954803,2.98610553340906
"St Mirren","Celtic",1,2,"1 - 2",0.0748237102799105,0.165185181541154,0.752221863867688,13.3647475681046,6.0538117927416,1.32939502031796
"St Mirren","Rangers",1,2,"1 - 2",0.115731586078402,0.21100493996684,0.670118505529293,8.64068344593974,4.73922553736019,1.49227336918587
"St Mirren","Dundee",2,1,"2 - 1",0.640285978611172,0.215753960095722,0.140733445578549,1.56180212187228,4.63490913240404,7.1056314715315
"St Mirren","Ross County",2,1,"2 - 1",0.546685847574035,0.253225104235288,0.198850833788556,1.82920411135131,3.94905553704832,5.02889518212094
"St Mirren","Hearts",1,1,"1 - 1",0.286650707480911,0.270387224676536,0.442288591022708,3.48856630701528,3.69839958672715,2.26096720624806
"St Mirren","Dundee United",1,1,"1 - 1",0.25347861193023,0.390465605188639,0.356038467555591,3.94510602841414,2.56104503626353,2.80868527175048
"St Mirren","Hibernian",1,1,"1 - 1",0.255546437782994,0.336728952630783,0.407640340440609,3.91318309374824,2.96974760319016,2.45314288305991
"St Mirren","Aberdeen",1,1,"1 - 1",0.561907394109302,0.264353750872562,0.172879244451956,1.77965268028753,3.78280995332679,5.78438437286151
"St Mirren","Motherwell",1,1,"1 - 1",0.313180031820623,0.328238726586314,0.358490906315281,3.19305159459451,3.0465631231269,2.78947103645785
"St Mirren","Kilmarnock",1,1,"1 - 1",0.339005637523305,0.35362847936915,0.307324215580149,2.94980345254953,2.82782654209281,3.2538926296851
"St Mirren","Hamilton",1,1,"1 - 1",0.378623375764287,0.298369053357121,0.322769395309027,2.64114701840954,3.35155401925377,3.09818717181217
"St Johnstone","Livingston",1,1,"1 - 1",0.299077126855282,0.330585994196071,0.370250351942843,3.34361912097638,3.02493153840903,2.70087521795084
"St Johnstone","St Mirren",1,1,"1 - 1",0.325745967036314,0.350478578109975,0.323730344559971,3.06987684022046,2.85324143173799,3.08899062693442
"St Johnstone","Celtic",0,2,"0 - 2",0.0757430911496779,0.18536744954845,0.73444710013986,13.2025242807146,5.3946903970248,1.36156845034798
"St Johnstone","Rangers",1,2,"1 - 2",0.106337998830273,0.224588876933205,0.667044372953371,9.40397610449777,4.45258025978468,1.49915064206666
"St Johnstone","Dundee",1,1,"1 - 1",0.525093822703136,0.288895197216055,0.185583690632177,1.90442156575389,3.46146287524515,5.38840453379053
"St Johnstone","Ross County",1,1,"1 - 1",0.375387214254604,0.358897839448143,0.265673883602129,2.66391598335514,2.78630821945778,3.76401318203182
"St Johnstone","Hearts",1,1,"1 - 1",0.322447644997701,0.306980803195933,0.37039354205314,3.10127865876375,3.25753268474492,2.69983108900028
"St Johnstone","Dundee United",1,1,"1 - 1",0.357909770415591,0.372264262545611,0.269798966711379,2.79400028347602,2.68626376639492,3.70646341677714
"St Johnstone","Hibernian",1,1,"1 - 1",0.241951292505973,0.369936675904802,0.388078194277738,4.13306326923347,2.70316533918723,2.5768002808329
"St Johnstone","Aberdeen",1,1,"1 - 1",0.327271087980239,0.357064880785484,0.315626776815392,3.05557086075499,2.80061146814597,3.16829899569926
"St Johnstone","Motherwell",1,1,"1 - 1",0.283675695886789,0.330299785065358,0.385932898913904,3.52515218786698,3.02755268158023,2.59112400838127
"St Johnstone","Kilmarnock",1,0,"1 - 0",0.374534719922714,0.42157026025192,0.203884505600729,2.66997943530136,2.37208383580575,4.90473759667799
"St Johnstone","Hamilton",1,1,"1 - 1",0.406534814128011,0.326698329190164,0.26665743867768,2.45981393289756,3.06092780602475,3.75012977308592
"Celtic","Livingston",3,0,"3 - 0",0.808591100476444,0.127511247263416,0.0484897197747861,1.2367190282094,7.84244544274731,20.6229280071028
"Celtic","St Mirren",3,1,"3 - 1",0.799349320601203,0.121635448690368,0.0565679290210609,1.25101751415499,8.22128755035526,17.6778612423249
"Celtic","St Johnstone",3,0,"3 - 0",0.841762727904928,0.0907603944866438,0.0325329658929322,1.18798322478463,11.0180217445745,30.7380520820344
"Celtic","Rangers",2,1,"2 - 1",0.506903669691028,0.230801361408272,0.259389903480414,1.97276141364202,4.33273007532685,3.85520017002322
"Celtic","Dundee",4,0,"4 - 0",0.85397028872138,0.048405096622331,0.0132285302761831,1.17100092732414,20.6589815903531,75.5941876476196
"Celtic","Ross County",3,0,"3 - 0",0.832262225304242,0.0997669117429364,0.0380188557792742,1.20154438060004,10.023363282775,26.3027379310333
"Celtic","Hearts",3,1,"3 - 1",0.792735119486011,0.130053644726299,0.0593243788921358,1.26145540347496,7.68913475746506,16.8564765223789
"Celtic","Dundee United",3,1,"3 - 1",0.827408404083101,0.104119366512325,0.0407237442978277,1.20859299357511,9.60436116254725,24.5556988249075
"Celtic","Hibernian",2,1,"2 - 1",0.761048210760668,0.149065947092657,0.0767051836802839,1.31397720388896,6.70844025415421,13.0369285623266
"Celtic","Aberdeen",3,0,"3 - 0",0.828127962648263,0.112896805720644,0.0392336778492887,1.20754284978146,8.85764653496431,25.4883063433761
"Celtic","Motherwell",3,1,"3 - 1",0.778093201611793,0.141277377753316,0.066423892512041,1.28519308217645,7.07827407262679,15.0548238319325
"Celtic","Kilmarnock",3,0,"3 - 0",0.871543248018414,0.0597629576951447,0.0144145421162636,1.14738999157374,16.7327729176503,69.3743853904121
"Celtic","Hamilton",4,0,"4 - 0",0.82024785302146,0.0432219681716728,0.0145271464566657,1.21914369701354,23.1363827771126,68.8366433823043
"Aberdeen","Livingston",2,1,"2 - 1",0.600306734550719,0.250765646142806,0.14772554743236,1.66581506160916,3.98778706486183,6.7693098274547
"Aberdeen","St Mirren",2,1,"2 - 1",0.658568823171778,0.200039196777211,0.136287006044608,1.51844418504938,4.99902027258051,7.33745665872716
"Aberdeen","St Johnstone",2,1,"2 - 1",0.669960596623559,0.209426942034388,0.117283611044504,1.49262509622172,4.77493483066663,8.52634047582784
"Aberdeen","Celtic",1,2,"1 - 2",0.208988717263988,0.224028080700249,0.563643542932286,4.78494730764259,4.46372614037616,1.77417094995469
"Aberdeen","Rangers",1,2,"1 - 2",0.18741894641024,0.241738210303791,0.569098139783118,5.33563985474075,4.13670639301625,1.75716617239532
"Aberdeen","Dundee",2,1,"2 - 1",0.60864132976416,0.242969825803907,0.146895449701607,1.64300377101812,4.11573740356989,6.80756280763854
